AD-ED,Reporting,Jo Jorgensen Jeremy Cohen,Donald J. Trump Michael R. Pence,WRITE-IN,Howie Hawkins Angela Nicole Walker,Joseph R. Biden Kamala D. Harris,Brock Pierce Karla Ballard
30-051,99.00%,0,21,0,0,115,1
30-052,99.00%,0,30,2,1,96,0
30-053,99.00%,0,23,0,0,71,0
30-054,99.00%,0,5,0,0,19,0
30-055,99.00%,2,100,0,1,219,2
30-056,99.00%,1,38,0,0,238,0
30-057,99.00%,0,13,0,0,81,0
30-058,99.00%,0,22,0,0,129,0
30-059,99.00%,2,20,0,0,74,0
30-060,99.00%,2,136,1,2,311,0
30-061,99.00%,0,10,0,0,43,0
30-062,55.56%,0,51,0,0,204,0
30-063,61.54%,1,16,0,0,123,1
30-064,61.54%,0,23,0,0,127,1
30-065,99.00%,4,64,1,0,230,0
30-066,55.56%,1,42,1,0,300,0
30-067,55.56%,1,37,1,1,216,0
30-068,77.78%,2,51,0,0,288,0
30-069,99.00%,3,46,0,4,274,0
30-070,66.67%,0,0,0,0,0,0
30-071,90.00%,0,0,0,0,0,0
30-072,71.43%,0,0,0,0,0,0
30-073,99.00%,0,137,0,0,91,0
30-074,66.67%,0,64,0,0,76,0
30-075,71.43%,0,42,1,0,51,0
30-076,99.00%,1,49,0,4,201,0
30-077,99.00%,1,32,0,0,111,0
30-078,55.56%,2,35,1,1,184,0
30-079,99.00%,1,32,0,1,186,1
30-080,99.00%,0,70,2,1,219,1
30-081,99.00%,1,156,3,3,280,2
30-082,99.00%,0,3,1,0,42,0
31-001,60.00%,1,29,0,0,119,0
31-002,60.00%,0,34,0,2,138,1
31-003,60.00%,1,41,0,1,167,0
31-004,99.00%,0,42,1,1,171,0
31-005,60.00%,1,37,0,1,175,0
31-006,60.00%,0,3,0,0,11,0
31-007,99.00%,0,32,0,0,127,0
31-008,40.00%,0,56,0,0,184,0
31-009,99.00%,1,32,0,0,132,0
31-010,99.00%,0,27,0,1,120,0
31-011,99.00%,0,96,4,0,467,1
31-012,99.00%,0,36,0,1,157,0
31-013,99.00%,1,90,2,1,393,0
31-014,99.00%,0,60,1,1,388,0
31-015,99.00%,1,61,1,1,397,0
31-016,99.00%,0,32,1,2,381,0
31-017,99.00%,0,33,0,0,288,0
31-018,40.00%,0,24,1,0,290,0
31-019,99.00%,0,47,1,0,365,0
31-020,99.00%,1,42,0,0,110,0
31-021,99.00%,0,42,0,1,143,0
31-022,40.00%,0,52,2,0,192,0
31-023,40.00%,0,66,0,1,171,0
31-024,40.00%,1,37,0,0,228,0
31-025,40.00%,1,33,1,0,157,0
31-026,40.00%,1,70,0,2,159,0
31-027,40.00%,0,65,2,0,190,0
31-028,40.00%,0,50,0,0,163,0
31-029,90.00%,0,3,0,2,243,0
31-030,99.00%,1,5,2,0,35,0
31-031,99.00%,0,0,0,0,9,0
31-032,99.00%,0,16,0,0,219,0
31-033,99.00%,0,0,0,0,89,0
31-034,99.00%,0,8,1,0,310,0
31-035,99.00%,0,8,0,0,244,0
31-036,99.00%,0,3,0,0,257,0
31-037,99.00%,0,10,0,0,200,0
31-038,90.00%,0,3,0,1,251,0
31-039,99.00%,2,86,0,2,348,2
31-040,90.00%,0,7,0,0,287,0
31-041,90.00%,0,3,0,1,207,0
31-042,99.00%,1,4,0,0,205,0
31-043,99.00%,0,7,1,0,185,0
31-044,99.00%,0,29,1,1,368,0
31-045,99.00%,0,22,0,0,258,0
31-046,99.00%,0,9,0,0,216,0
31-047,99.00%,0,6,0,0,270,0
31-048,99.00%,3,50,0,2,467,0
31-049,99.00%,2,29,0,1,323,0
31-050,99.00%,1,3,0,0,40,0
31-051,50.00%,2,5,0,0,260,0
31-052,50.00%,0,7,0,0,218,0
31-053,50.00%,0,13,1,0,206,0
31-054,50.00%,0,29,1,0,255,0
31-055,99.00%,0,6,0,0,127,0
31-056,71.43%,0,9,0,1,205,0
31-057,99.00%,1,13,0,0,329,0
31-058,99.00%,0,5,0,0,114,0
31-059,99.00%,0,11,1,1,224,0
31-060,99.00%,0,0,0,0,4,0
31-061,99.00%,0,52,0,2,480,0
31-062,83.33%,0,6,0,0,127,1
31-063,83.33%,0,9,0,0,196,0
31-064,99.00%,0,9,0,1,153,1
31-065,99.00%,0,0,0,0,0,0
31-066,99.00%,0,0,0,0,0,0
31-067,99.00%,0,0,0,0,0,0
31-068,99.00%,0,0,0,0,0,0
31-069,99.00%,0,0,0,0,0,0
31-070,99.00%,0,0,0,0,0,0
31-071,71.43%,0,0,0,0,0,0
31-072,99.00%,0,0,0,0,0,0
31-073,99.00%,0,0,0,0,0,0
31-074,90.00%,0,0,0,0,0,0
31-075,99.00%,0,0,0,0,0,0
31-076,99.00%,0,0,0,0,0,0
31-077,99.00%,0,0,0,0,0,0
31-078,40.00%,0,26,0,1,253,0
31-079,50.00%,0,14,0,0,188,0
31-080,60.00%,0,23,0,0,143,0
31-081,99.00%,0,37,1,0,199,0
31-082,40.00%,0,35,0,0,229,0
31-083,99.00%,1,33,2,1,372,1
31-084,99.00%,0,13,0,0,188,0
31-085,99.00%,0,12,0,0,188,0
31-086,99.00%,1,24,2,0,281,0
32-001,99.00%,0,24,0,0,184,1
32-002,99.00%,0,5,0,0,2,0
32-003,99.00%,1,24,1,0,251,1
32-004,99.00%,0,15,1,0,237,0
32-005,99.00%,0,22,1,1,133,0
32-006,99.00%,0,13,0,0,171,0
32-007,99.00%,0,3,0,0,26,0
32-008,99.00%,0,6,0,0,18,0
32-009,99.00%,0,4,0,0,24,0
32-010,99.00%,0,0,0,0,8,0
32-011,99.00%,1,13,0,0,59,0
32-012,99.00%,0,0,0,0,2,0
32-013,99.00%,0,7,1,0,107,0
32-014,99.00%,0,0,0,0,4,0
32-015,99.00%,0,11,0,1,201,0
32-016,99.00%,0,16,0,1,183,0
32-017,99.00%,0,20,0,0,150,1
32-018,99.00%,0,39,0,0,165,1
32-019,99.00%,0,79,0,3,235,1
32-020,99.00%,0,63,0,3,300,0
32-021,99.00%,3,24,0,2,225,1
32-022,99.00%,1,17,0,2,184,1
32-023,99.00%,0,20,0,0,329,0
32-024,99.00%,0,35,1,1,224,0
32-025,99.00%,0,9,0,0,239,0
32-026,99.00%,1,8,0,1,167,0
32-027,99.00%,0,2,0,1,217,0
32-028,99.00%,0,17,2,4,236,0
32-029,90.91%,1,13,0,0,206,0
32-030,90.91%,0,10,0,1,197,1
32-031,99.00%,0,85,0,4,501,0
32-032,99.00%,1,42,1,2,329,0
32-033,90.91%,0,12,1,1,154,0
32-034,90.91%,0,9,0,0,208,0
32-035,90.91%,0,11,0,2,227,0
32-036,99.00%,0,12,1,2,278,0
32-037,99.00%,0,10,0,0,203,0
32-038,99.00%,0,10,0,1,287,0
32-039,99.00%,1,9,0,0,202,0
32-040,99.00%,0,12,0,1,242,0
32-041,99.00%,0,16,0,0,308,0
32-042,81.82%,0,4,0,0,215,1
32-043,99.00%,1,7,0,0,255,0
32-044,99.00%,0,3,0,0,90,0
32-045,99.00%,0,2,0,0,274,1
32-046,90.00%,0,4,0,0,168,0
32-047,90.00%,0,5,0,1,190,0
32-048,90.00%,0,6,0,0,193,0
32-049,99.00%,0,9,0,0,149,0
32-050,99.00%,0,1,0,1,184,0
32-051,99.00%,0,7,1,0,263,0
32-052,99.00%,0,8,0,0,194,0
32-053,99.00%,0,16,0,0,186,0
32-054,99.00%,0,4,0,1,164,0
32-055,99.00%,0,13,0,0,186,0
32-056,99.00%,0,1,0,0,84,0
32-057,99.00%,0,3,1,0,263,0
32-058,99.00%,0,5,0,0,299,0
32-059,99.00%,0,12,0,0,314,0
32-060,99.00%,0,7,0,2,328,0
32-061,99.00%,0,7,0,0,226,0
32-062,99.00%,0,6,0,1,431,0
32-063,99.00%,0,8,0,1,448,0
32-064,99.00%,1,9,0,0,412,0
32-065,99.00%,0,11,0,1,369,0
32-066,99.00%,0,5,0,0,183,0
32-067,99.00%,0,7,0,1,389,0
32-068,99.00%,0,8,0,2,391,0
32-069,99.00%,1,4,0,1,373,1
32-070,99.00%,0,6,0,0,369,0
32-071,99.00%,0,12,0,1,544,0
32-072,99.00%,0,6,0,0,365,0
32-073,99.00%,0,5,0,4,299,0
32-074,99.00%,0,1,1,1,121,0
32-075,99.00%,0,3,0,4,278,0
32-076,99.00%,0,0,0,0,2,0
32-077,99.00%,0,10,0,0,182,2
32-078,90.00%,0,1,1,0,193,0
32-079,99.00%,0,19,0,2,263,0
32-080,99.00%,0,13,0,0,145,0
32-081,99.00%,0,5,0,0,157,1
32-082,90.91%,0,9,0,0,188,0
32-083,90.91%,0,6,0,3,184,0
32-084,99.00%,0,9,0,0,223,0
33-001,99.00%,0,93,0,1,148,1
33-002,99.00%,1,93,0,2,134,0
33-003,99.00%,2,91,0,0,145,0
33-004,90.00%,1,48,0,1,146,1
33-005,99.00%,0,60,0,1,141,0
33-006,99.00%,0,102,1,0,198,0
33-007,90.00%,0,73,0,0,182,0
33-008,90.00%,2,102,0,0,142,1
33-009,90.00%,3,105,0,0,174,0
33-010,99.00%,0,66,1,1,137,0
33-011,99.00%,0,84,0,0,188,0
33-012,99.00%,1,48,0,0,142,0
33-013,99.00%,0,40,0,0,177,0
33-014,99.00%,1,39,0,0,169,0
33-015,99.00%,0,47,0,1,191,0
33-016,99.00%,0,1,0,0,30,0
33-017,99.00%,1,33,0,0,197,0
33-018,99.00%,0,63,1,0,171,0
33-019,99.00%,0,54,1,3,248,0
33-020,99.00%,1,67,0,0,242,0
33-021,99.00%,0,19,0,0,158,0
33-022,99.00%,1,28,1,0,187,0
33-023,99.00%,0,22,0,1,189,0
33-024,99.00%,0,17,0,0,147,0
33-025,99.00%,0,49,0,1,210,0
33-026,99.00%,0,28,1,0,243,0
33-027,99.00%,0,20,0,0,189,0
33-028,99.00%,0,16,0,0,152,0
33-029,99.00%,0,9,0,0,298,0
33-030,99.00%,0,9,0,0,221,0
33-031,90.91%,0,6,0,1,270,0
33-032,99.00%,1,11,0,0,262,0
33-033,99.00%,0,11,0,0,234,0
33-034,99.00%,0,7,0,1,275,0
33-035,99.00%,0,12,0,1,272,0
33-036,99.00%,0,21,0,1,538,0
33-037,99.00%,0,9,0,0,346,0
33-038,71.43%,0,7,1,0,242,0
33-039,90.91%,2,6,2,0,237,0
33-040,90.91%,1,10,1,0,247,0
33-041,90.91%,0,9,0,0,217,1
33-042,90.91%,0,16,1,0,247,0
33-043,80.00%,0,16,0,0,236,0
33-044,90.91%,0,8,0,0,246,0
33-045,71.43%,0,6,0,0,265,0
33-046,71.43%,0,4,1,0,293,0
33-047,80.00%,0,9,0,1,300,0
33-048,80.00%,0,13,0,0,264,0
33-049,99.00%,0,9,0,0,171,0
33-050,99.00%,0,14,0,1,174,1
33-051,99.00%,0,8,0,0,251,0
33-052,80.00%,0,21,0,0,281,0
33-053,80.00%,0,6,0,0,309,0
33-054,80.00%,0,9,0,0,388,0
33-055,80.00%,0,6,1,0,346,0
33-056,99.00%,1,24,0,0,511,0
33-057,99.00%,1,12,2,2,482,0
33-058,99.00%,0,5,2,0,349,0
33-059,99.00%,0,13,0,0,366,0
33-060,99.00%,0,9,0,2,420,0
33-061,99.00%,0,5,0,0,352,0
33-062,99.00%,0,13,1,0,398,0
33-063,99.00%,0,11,2,1,484,0
33-064,99.00%,1,18,1,2,491,0
33-065,99.00%,1,19,0,1,565,0
33-066,99.00%,1,19,0,1,544,0
33-067,99.00%,1,23,3,1,537,0
33-068,99.00%,0,6,0,0,385,0
33-069,99.00%,1,16,2,1,566,0
33-070,99.00%,0,7,0,1,397,0
33-071,99.00%,1,9,1,1,452,0
33-072,90.91%,0,7,0,1,162,0
33-073,80.00%,0,7,0,0,280,0
33-074,99.00%,1,45,0,0,240,0
33-075,99.00%,2,62,0,0,126,1
33-076,99.00%,0,20,0,0,159,0
33-077,99.00%,0,4,1,0,250,1
33-078,99.00%,0,10,1,0,356,0
33-079,80.00%,1,8,0,0,247,0
34-001,77.78%,0,18,1,0,87,0
34-002,77.78%,0,30,2,1,104,0
34-003,77.78%,0,24,0,0,95,0
34-004,87.50%,0,16,0,0,89,0
34-005,77.78%,0,33,0,0,94,0
34-006,77.78%,1,31,0,0,122,0
34-007,77.78%,0,27,0,1,126,0
34-008,30.00%,2,62,1,0,238,0
34-009,30.00%,1,54,0,1,191,0
34-010,88.89%,0,31,0,0,101,0
34-011,99.00%,0,37,1,1,205,0
34-012,99.00%,0,52,0,0,130,0
34-013,87.50%,0,32,0,0,122,0
34-014,30.00%,0,80,1,1,190,0
34-015,30.00%,2,63,1,0,304,0
34-016,30.00%,1,99,0,2,316,0
34-017,87.50%,1,46,1,0,158,0
34-018,87.50%,0,20,0,0,114,0
34-019,99.00%,0,95,2,0,269,1
34-020,99.00%,1,73,0,2,197,0
34-021,99.00%,0,58,1,1,163,0
34-022,33.33%,3,87,3,2,343,1
34-023,33.33%,0,45,1,1,226,0
34-024,33.33%,0,63,0,0,270,0
34-025,90.00%,0,36,1,3,260,0
34-026,90.00%,0,73,1,1,222,1
34-027,90.00%,0,63,1,1,195,0
34-028,42.86%,0,40,0,0,144,1
34-029,42.86%,0,19,1,0,114,0
34-030,42.86%,0,3,0,0,7,0
34-031,42.86%,0,14,0,0,60,0
34-032,42.86%,0,10,0,0,35,0
34-033,99.00%,0,2,0,0,13,0
34-034,77.78%,0,20,0,0,37,0
34-035,90.00%,0,50,0,0,161,0
34-036,90.00%,1,72,2,0,172,0
34-037,90.00%,0,55,0,0,132,0
34-038,99.00%,0,26,0,0,104,0
34-039,88.89%,1,48,0,1,137,0
34-040,88.89%,0,48,1,0,109,0
34-041,88.89%,0,31,0,0,100,0
34-042,88.89%,0,22,0,1,86,0
34-043,99.00%,0,22,0,0,84,0
34-044,99.00%,1,9,0,0,34,0
34-045,99.00%,0,26,0,0,74,0
34-046,99.00%,1,36,0,0,96,0
34-047,99.00%,0,6,0,0,3,0
34-048,99.00%,0,6,0,0,32,0
34-049,99.00%,4,24,0,0,83,0
34-050,99.00%,0,22,0,0,101,0
34-051,99.00%,0,39,1,0,110,0
34-052,99.00%,0,28,1,0,119,0
34-053,71.43%,0,2,0,0,10,0
34-054,71.43%,0,0,0,0,0,0
34-055,71.43%,0,7,0,0,6,0
34-056,71.43%,0,12,1,0,18,0
34-057,99.00%,0,2,0,0,11,0
34-058,99.00%,0,1,0,0,1,0
34-059,99.00%,0,2,0,0,8,0
34-060,99.00%,0,32,0,0,85,0
34-061,99.00%,0,4,0,0,31,0
34-062,99.00%,0,37,0,0,50,0
34-063,90.00%,0,37,2,6,383,0
34-064,42.86%,0,0,0,0,0,0
34-065,87.50%,0,35,0,0,135,0
34-066,30.00%,0,41,0,1,195,0
34-067,33.33%,0,46,0,0,185,0
34-068,33.33%,0,97,2,2,285,0
34-069,42.86%,0,29,0,1,142,0
34-070,99.00%,0,12,0,0,48,0
34-071,99.00%,0,12,0,0,80,0
34-072,87.50%,1,70,3,0,191,0
34-073,99.00%,1,71,2,0,159,0
35-001,99.00%,0,34,0,0,65,0
35-002,99.00%,1,165,1,3,316,1
35-003,99.00%,4,176,4,1,293,0
35-004,99.00%,0,156,1,3,319,0
35-005,99.00%,3,143,2,2,242,2
35-006,99.00%,2,141,1,1,297,2
35-007,99.00%,0,43,0,0,146,0
35-008,99.00%,0,43,0,1,138,0
35-009,99.00%,0,60,0,1,141,0
35-010,99.00%,1,84,0,1,180,1
35-011,99.00%,0,49,0,0,158,0
35-012,99.00%,0,66,0,1,210,0
35-013,99.00%,0,36,1,0,98,0
35-014,99.00%,0,60,0,0,156,0
35-015,99.00%,0,40,0,0,219,0
35-016,99.00%,1,58,1,1,308,0
35-017,66.67%,1,64,1,2,299,0
35-018,66.67%,1,53,0,0,210,0
35-019,99.00%,0,83,0,2,351,2
35-020,37.50%,1,42,1,1,352,0
35-021,99.00%,1,50,0,0,190,1
35-022,99.00%,0,32,0,0,226,0
35-023,87.50%,0,142,0,0,126,1
35-024,87.50%,1,105,0,0,166,0
35-025,99.00%,0,38,0,0,324,1
35-026,87.50%,0,167,1,0,135,0
35-027,87.50%,1,159,0,2,129,0
35-028,85.71%,0,15,0,0,64,0
35-029,99.00%,0,0,0,0,1,0
35-030,99.00%,0,41,0,0,14,0
35-031,99.00%,0,0,0,0,0,0
35-032,99.00%,0,33,0,0,140,0
35-033,99.00%,0,147,3,3,272,1
35-034,99.00%,0,0,0,0,0,0
35-035,85.71%,0,10,0,0,29,0
35-036,99.00%,0,4,0,0,4,0
35-037,99.00%,0,37,0,0,107,0
35-038,99.00%,0,34,0,0,249,0
35-039,99.00%,1,26,0,0,129,0
35-040,50.00%,0,28,0,0,123,0
35-041,50.00%,0,23,1,1,158,0
35-042,99.00%,0,26,0,0,149,0
35-043,99.00%,0,26,2,0,219,0
35-044,99.00%,0,19,0,0,187,0
35-045,50.00%,0,28,1,0,203,0
35-046,50.00%,0,52,0,0,237,0
35-047,37.50%,2,52,0,1,329,0
35-048,37.50%,0,64,1,2,354,0
35-049,88.89%,0,33,0,0,99,0
35-050,50.00%,1,73,0,2,197,0
35-051,50.00%,0,38,1,0,278,0
35-052,37.50%,0,53,0,2,289,0
35-053,37.50%,0,48,0,0,336,0
35-054,99.00%,0,0,0,0,0,0
35-055,87.50%,0,0,0,0,0,0
35-056,37.50%,0,0,0,0,1,0
35-057,85.71%,0,0,0,0,0,0
35-058,85.71%,0,0,0,0,0,0
35-059,50.00%,0,0,0,0,0,0
35-060,37.50%,0,0,0,0,0,0
35-061,99.00%,0,0,0,0,0,0
35-062,87.50%,0,0,0,0,0,0
35-063,99.00%,1,85,2,1,190,0
35-064,87.50%,0,96,1,0,246,0
35-065,50.00%,0,25,0,0,129,0
35-066,37.50%,1,43,2,1,307,1
36-001,99.00%,0,89,0,0,277,0
36-002,99.00%,0,43,2,0,174,0
36-003,99.00%,1,29,0,1,171,0
36-004,77.78%,1,74,0,4,269,0
36-005,77.78%,0,48,1,1,213,0
36-006,77.78%,2,50,1,0,274,1
36-007,99.00%,4,51,2,0,257,0
36-008,99.00%,1,109,0,1,469,1
36-009,99.00%,1,42,0,0,174,0
36-010,99.00%,2,59,2,0,303,0
36-011,99.00%,0,53,0,0,319,0
36-012,99.00%,4,71,2,1,351,0
36-013,99.00%,3,90,2,0,329,0
36-014,99.00%,3,98,0,2,287,0
36-015,99.00%,1,87,5,2,316,0
36-016,99.00%,4,98,2,5,410,1
36-017,99.00%,1,89,1,3,368,0
36-018,99.00%,0,114,1,2,450,1
36-019,99.00%,1,114,3,2,434,0
36-020,99.00%,1,121,1,4,392,1
36-021,99.00%,5,113,2,4,492,0
36-022,61.54%,2,57,0,2,297,0
36-023,61.54%,2,43,1,2,195,0
36-024,61.54%,3,35,0,1,234,0
36-025,61.54%,0,28,0,1,214,0
36-026,77.78%,1,59,1,1,251,0
36-027,61.54%,0,29,2,0,182,0
36-028,61.54%,0,58,1,2,202,0
36-029,61.54%,1,74,2,1,163,0
36-030,61.54%,1,48,1,1,206,0
36-031,61.54%,0,46,1,1,215,1
36-032,61.54%,1,53,0,3,178,0
36-033,99.00%,0,85,1,0,169,2
36-034,99.00%,1,91,1,5,218,0
36-035,99.00%,2,60,0,2,232,0
36-036,99.00%,0,56,3,1,322,0
36-037,99.00%,1,87,3,1,285,2
36-038,99.00%,0,89,0,1,231,0
36-039,99.00%,3,50,6,0,243,1
36-040,99.00%,1,35,0,2,215,0
36-041,99.00%,0,41,0,0,179,0
36-042,99.00%,0,32,1,1,143,0
36-043,61.54%,0,16,0,1,47,0
36-044,99.00%,0,2,0,0,16,0
36-045,99.00%,1,68,1,2,300,0
36-046,99.00%,0,38,0,0,93,0
36-047,99.00%,3,69,1,0,121,0
36-048,99.00%,0,57,0,1,106,0
36-049,77.78%,2,74,1,1,295,0
36-050,88.89%,0,10,0,0,19,0
36-051,61.54%,0,3,0,0,31,0
36-052,99.00%,1,116,2,4,423,0
36-053,99.00%,3,190,0,3,262,0
36-054,99.00%,2,222,1,2,232,0
36-055,99.00%,1,157,2,4,380,0
36-056,99.00%,0,86,1,2,253,0
36-057,99.00%,2,78,1,1,203,0
36-058,99.00%,0,63,0,0,189,1
36-059,99.00%,2,61,1,3,261,0
36-060,99.00%,1,39,0,2,180,0
36-061,99.00%,1,54,2,1,196,0
36-062,99.00%,0,26,0,0,123,0
36-063,99.00%,0,39,0,1,120,0
36-064,55.56%,4,45,1,2,329,0
36-065,77.78%,0,21,0,1,72,0
36-066,99.00%,2,113,3,5,323,0
36-067,99.00%,1,38,0,0,187,0
36-068,77.78%,0,0,0,0,0,0
36-069,88.89%,0,0,0,0,0,0
36-070,99.00%,0,0,0,0,0,0
36-071,99.00%,0,0,0,0,0,0
36-072,99.00%,0,77,1,2,371,0
36-073,99.00%,2,96,3,3,448,1
36-074,99.00%,2,108,2,1,359,0
36-075,99.00%,1,35,0,2,201,0
36-076,55.56%,2,43,0,2,291,0
36-077,99.00%,3,133,1,3,476,0
36-078,99.00%,0,58,0,0,179,0
36-079,99.00%,4,105,2,0,211,0
36-080,99.00%,2,55,0,0,207,0
36-081,99.00%,1,93,1,2,303,2
36-082,99.00%,1,90,2,0,224,1
36-083,99.00%,2,46,0,2,87,0
37-001,99.00%,3,93,3,4,269,1
37-002,99.00%,0,39,0,0,157,0
37-003,99.00%,1,14,0,0,174,0
37-004,99.00%,0,22,1,0,139,0
37-005,99.00%,3,83,2,3,324,0
37-006,99.00%,1,62,2,1,209,0
37-007,99.00%,1,9,0,0,75,0
37-008,99.00%,0,10,0,2,84,0
37-009,99.00%,3,17,0,0,90,0
37-010,99.00%,0,14,0,0,120,0
37-011,99.00%,3,27,0,1,242,1
37-012,99.00%,0,9,0,0,66,0
37-013,99.00%,0,9,0,1,63,0
37-014,99.00%,0,3,0,0,50,0
37-015,99.00%,0,6,0,0,47,0
37-016,99.00%,0,3,0,1,57,0
37-017,99.00%,0,3,0,0,67,0
37-018,99.00%,1,37,0,1,304,0
37-019,99.00%,0,41,1,0,267,0
37-020,99.00%,0,9,0,1,180,0
37-021,99.00%,0,18,0,1,178,0
37-022,99.00%,4,87,8,3,541,0
37-023,99.00%,1,52,1,0,385,0
37-024,99.00%,8,96,3,1,896,0
37-025,99.00%,0,5,0,0,37,0
37-026,99.00%,0,0,0,0,3,0
37-027,99.00%,1,103,0,3,493,1
37-028,99.00%,1,122,1,5,485,0
37-029,99.00%,5,138,3,8,463,0
37-030,99.00%,2,136,2,4,406,1
37-031,99.00%,1,62,3,2,297,0
37-032,99.00%,2,69,1,2,288,0
37-033,99.00%,0,30,0,2,160,0
37-034,99.00%,0,43,0,0,119,0
37-035,99.00%,1,26,0,0,111,0
37-036,99.00%,5,58,1,0,213,0
37-037,99.00%,2,56,2,2,273,0
37-038,99.00%,0,29,1,1,240,1
37-039,99.00%,0,29,0,0,177,0
37-040,90.00%,0,0,0,0,1,0
37-041,99.00%,0,30,0,0,74,0
37-042,99.00%,2,133,0,1,242,0
37-043,90.00%,2,217,1,0,266,1
37-044,80.00%,0,89,0,0,95,0
37-045,87.50%,2,121,2,1,153,2
37-046,99.00%,0,71,1,1,136,0
37-047,99.00%,1,64,2,1,171,0
37-048,99.00%,0,44,1,0,167,1
37-049,99.00%,1,91,0,2,209,1
37-050,99.00%,1,74,2,6,219,0
37-051,99.00%,0,2,0,0,18,0
37-052,99.00%,3,77,1,1,123,0
37-053,99.00%,0,38,0,2,89,1
37-054,99.00%,1,30,0,0,94,0
37-055,99.00%,0,0,0,0,2,0
37-056,99.00%,2,40,0,1,218,0
37-057,99.00%,1,38,1,0,153,0
37-058,99.00%,0,19,0,1,159,0
37-059,99.00%,0,20,0,1,154,0
37-060,99.00%,1,6,0,0,28,0
37-061,99.00%,0,67,0,1,130,0
37-062,99.00%,1,152,1,1,164,1
37-063,99.00%,0,23,0,2,157,1
37-064,99.00%,0,34,0,0,228,0
37-065,99.00%,2,27,0,1,186,0
37-066,99.00%,0,0,0,0,0,0
37-067,99.00%,1,108,1,1,237,0
37-068,99.00%,1,69,0,2,223,0
37-069,99.00%,0,0,0,0,0,0
37-070,99.00%,0,0,0,0,0,0
37-071,99.00%,0,0,0,0,0,0
37-072,99.00%,0,0,0,0,0,0
37-073,99.00%,0,0,0,0,0,0
37-074,99.00%,0,0,0,0,0,0
37-075,99.00%,2,28,0,2,310,2
37-076,55.56%,1,33,0,0,223,0
37-077,99.00%,1,36,0,1,180,0
37-078,99.00%,3,64,3,2,374,0
37-079,99.00%,5,41,2,2,480,1
37-080,99.00%,1,39,2,1,393,0
37-081,99.00%,4,55,2,4,379,1
37-082,99.00%,2,125,0,6,496,1
37-083,99.00%,1,45,2,0,217,2
37-084,87.50%,1,74,0,0,151,0
37-085,80.00%,2,92,0,0,87,0
37-086,99.00%,0,84,2,1,225,0
37-087,99.00%,1,27,1,0,177,0
37-088,99.00%,0,17,0,1,79,0
38-001,99.00%,1,18,0,2,113,0
38-002,99.00%,0,15,0,1,108,0
38-003,99.00%,0,18,0,1,165,0
38-004,99.00%,2,123,6,3,355,1
38-005,99.00%,2,76,0,2,373,1
38-006,99.00%,0,102,1,6,365,0
38-007,99.00%,3,62,0,2,297,0
38-008,99.00%,0,152,4,6,411,0
38-009,99.00%,3,160,2,2,311,1
38-010,99.00%,5,173,2,2,320,1
38-011,77.78%,0,0,0,0,0,0
38-012,77.78%,0,37,0,0,74,1
38-013,77.78%,0,32,0,0,62,0
38-014,77.78%,0,46,0,0,57,0
38-015,77.78%,0,17,0,0,41,0
38-016,99.00%,1,67,0,1,110,0
38-017,99.00%,0,117,0,0,100,0
38-018,99.00%,0,59,0,0,80,0
38-019,99.00%,3,139,1,2,118,0
38-020,80.00%,0,14,0,0,36,0
38-021,63.64%,0,11,0,0,53,0
38-022,75.00%,0,17,0,0,31,0
38-023,63.64%,0,16,0,0,77,0
38-024,63.64%,0,20,0,0,73,0
38-025,63.64%,0,13,0,0,77,0
38-026,66.67%,0,30,0,0,77,0
38-027,99.00%,0,40,0,0,189,1
38-028,99.00%,0,63,0,0,83,0
38-029,99.00%,0,21,0,0,134,0
38-030,99.00%,1,41,0,0,140,0
38-031,99.00%,0,60,0,0,159,0
38-032,99.00%,0,36,0,0,66,0
38-033,99.00%,3,144,0,0,414,0
38-034,66.67%,0,14,0,0,44,0
38-035,99.00%,2,28,1,0,94,0
38-036,54.55%,0,24,0,0,71,0
38-037,80.00%,0,21,0,0,96,0
38-038,54.55%,0,16,0,0,79,0
38-039,54.55%,0,47,0,0,133,1
38-040,54.55%,0,17,0,0,108,0
38-041,54.55%,0,23,0,0,77,0
38-042,80.00%,0,17,0,0,109,0
38-043,80.00%,0,25,0,0,92,0
38-044,80.00%,0,34,0,0,93,0
38-045,99.00%,0,37,0,1,111,0
38-046,80.00%,2,23,0,0,83,0
38-047,99.00%,0,13,0,0,62,1
38-048,66.67%,0,11,0,0,61,0
38-049,66.67%,1,10,0,1,56,0
38-050,99.00%,0,8,0,0,65,0
38-051,63.64%,0,28,0,0,81,0
38-052,63.64%,0,17,0,1,73,0
38-053,63.64%,0,8,0,1,22,0
38-054,63.64%,0,23,1,0,59,0
38-055,66.67%,0,29,0,0,72,0
38-056,66.67%,0,9,0,0,66,0
38-057,66.67%,0,12,1,0,52,0
38-058,66.67%,0,8,0,1,60,0
38-059,66.67%,0,28,0,0,102,0
38-060,63.64%,0,0,0,0,0,0
38-061,75.00%,0,0,0,0,0,0
38-062,99.00%,0,18,0,1,151,0
38-063,66.67%,0,18,0,0,96,0
38-064,99.00%,0,14,0,1,165,0
38-065,99.00%,4,148,0,1,270,1
38-066,77.78%,0,52,0,0,87,0
38-067,75.00%,0,5,0,0,9,0
38-068,66.67%,0,25,0,0,59,0
38-069,54.55%,0,24,0,1,97,0
38-070,54.55%,0,31,0,0,107,0
